States,Market,Type,Link
NC,"Mecklenburg County, NC",Tax Delinquency,https://tax.mecknc.gov/services/Delinquent-Taxpayer-Lists
GA,"Cobb County, GA",Tax Delinquency,https://www.cobbtax.gov/property/delinquent_taxes/index.php
MO,"Jackson County, MO",Tax Delinquency,https://www.16thcircuit.org/delinquent-land-tax
PA,"Cumberland County, PA",Tax Delinquency,https://www.cumberlandcountypa.gov/2279/Delinquent-Real-Estate-Tax-Database
TX,"Dallas, TX",Code Violation,https://www.dallasopendata.com/Services/Code-Violations/rxtg-hf3r/about_data
AZ,"Phoenix, AZ",Code Violation,https://www.phoenixopendata.com/dataset/code-violations
CA,"Sacramento, CA",Code Violation,https://data.cityofsacramento.org/datasets/code-enforcement-cases
OH,"Cincinnati, OH",Code Violation,https://data.cincinnati-oh.gov/Thriving-Neighborhoods/Code-Enforcement-Complaints/4cjh-bm3t/about_data
MN,"Minneapolis, MN",Code Violation,https://opendata.minneapolismn.gov/datasets/inspections-orders-and-violations
CO,"Denver, CO",Code Violation,https://www.denvergov.org/opendata/dataset/city-and-county-of-denver-code-violations
AZ,"Tucson, AZ",Code Violation,https://gisdata.tucsonaz.gov/datasets/code-enforcement-cases
NC,"Charlotte, NC",Code Violation,https://data.charlottenc.gov/datasets/code-enforcement-cases
TN,"Memphis, TN",Code Violation,https://data.memphistn.gov/Neighborhoods/Code-Enforcement-Violations/ggdg-evy7/about_data
TX,"El Paso, TX",Code Violation,https://opendata.elpasotexas.gov/datasets/code-enforcement-cases
MI,"Detroit, MI",Code Violation,https://data.detroitmi.gov/datasets/blight-violations
VA,"Arlington County, VA",Code Violation,https://data.arlingtonva.us/datasets/code-enforcement-cases
WA,"Spokane, WA",Code Violation,https://my.spokanecity.org/opendata/datasets/code-enforcement-cases
NE,"Omaha, NE",Code Violation,https://opendata.cityofomaha.org/datasets/code-enforcement-complaints
NV,"Las Vegas, NV",Code Violation,https://opendata.lasvegasnevada.gov/datasets/code-enforcement-cases
UT,"Salt Lake City, UT",Code Violation,https://opendata.utah.gov/datasets/salt-lake-code-enforcement
AK,"Anchorage, AK",Code Violation,https://opendata.arcgis.com/datasets/code-enforcement-cases-anchorage
CA,"Los Angeles, CA",Probates,https://www.lacourt.org/casesummary/ui/
TX,"Harris County, TX",Probates,https://www.cclerk.hctx.net/applications/websearch/CourtSearch.aspx?CaseType=Probate
FL,"Orange County, FL",Probates,https://myeclerk.myorangeclerk.com/cases/search
